id,dto,categoría,nivel,texto,A,B,C,D,correct_letter,why,activo
29,Recepción,Operativa Turnos,Intermedio,"¿Qué implica ""evitar huecos difíciles de asignar"" al distribuir habitaciones?","Asignar habitaciones consecutivas o por plantas, revisando el planning para facilitar limpieza y evitar cambios innecesarios de habitación",Dejar habitaciones vacías entre ocupadas para evitar conflictos,"Asignar habitaciones sin revisar el planning, priorizando rapidez",Asignar habitaciones con vistas aunque no estén solicitadas,A,"Al distribuir habitaciones, se debe revisar el planning de ocupación para evitar huecos que obliguen a mover huéspedes innecesariamente. Asignar por plantas o en bloques facilita la limpieza y mejora la experiencia del cliente al evitar cambios de habitación durante su estancia.",1
30,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el turno de tarde si un huésped amplía su estancia?,"Revisar el planning de ocupación, informar de la tarifa vigente y registrar el cambio en el PMS",Registrar el cambio en el PMS sin verificar disponibilidad ni tarifa,Esperar al turno de mañana para que lo gestione,Decirle que no es posible sin consultar disponibilidad,A,"El late check-out solo se autoriza si la ocupación prevista es inferior al 60 % y nunca en sábados ni en días de alta rotación. Se revisa si está incluido en la tarifa, se aplica la política de precios según día, se registra en el sistema, se bloquea la habitación en el rack y se informa a Pisos para reorganizar la limpieza.",1
31,Recepción,Operativa Turnos,Intermedio,¿Por qué es clave comunicar a A&B el número de huéspedes con pensión?,Para que preparen la cantidad adecuada de comida y suministros,Para que abran más tiempo,Por protocolo de limpieza,Porque los huéspedes pagan más,A,Informa sobre pensiones... ya que esto afecta directamente la planificación de las comidas y los suministros.,1
32,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el turno de noche con las llegadas después de imprimir el listado para Housekeeping?,Ninguna de las anteriores es correcta,Imprimir otro listado completo,No procede según protocolo,Anotarlas a mano en el propio listado,D,"Atención: si se realiza alguna entrada nueva después de imprimir el listado, anótala a mano en el propio listado.",1
33,Recepción,Operativa Turnos,Intermedio,¿Qué se debe verificar para facturar bien a una agencia (TTOO)?,"Que el bono esté adjunto y los datos coincidan: tarifa, régimen, fechas, saldo",Que el tipo de habitación asignada coincida con la contratada,Que el método de pago esté registrado correctamente en el PMS,Todas las anteriores son correctas,D,"Para facturar correctamente a una agencia, se debe verificar el bono, la coincidencia de datos clave (tarifa, régimen, fechas, saldo), el tipo de habitación asignada y que el método de pago esté correctamente registrado en el PMS.",1
34,Recepción,Operativa Turnos,Intermedio,¿Por qué se debe revisar el LOG CHANNEL al final del turno?,Por cumplir un trámite,"Para detectar errores en garantías, raleases o bonos que afecten a la facturación o disponibilidad",Para saber cuántos huéspedes han llegado,Porque lo pide el gerente cada día,B,Permite verificar que las reservas estén correctamente garantizadas según su canal y tarifa.,1
35,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el turno de mañana si un huésped llega temprano y su habitación no está lista?,"Revisar el planning de ocupación y ofrecer alternativas según disponibilidad (early check-in, cambio de habitación o guardar equipaje)",Informarle del horario oficial de entrada y registrar su llegada para priorizar limpieza si es posible,Decirle que espere en el lobby sin ofrecer alternativas,Asignar cualquier habitación disponible sin verificar limpieza ni tipología,A,"La respuesta correcta implica revisar el planning, aplicar la política de early check-in y ofrecer soluciones operativas. La opción B ahora refleja una actitud pasiva pero profesional, mientras que C y D representan errores operativos.",1
36,Recepción,Operativa Turnos,Intermedio,¿Qué prioridad tiene el mantenimiento según el turno de mañana?,Las pinturas,Las averías de habitaciones ocupadas,Las averías de zonas comunes,Las luces del parking,B,Lo primero que se debe realizar son las averías de las habitaciones ocupadas.,1
37,Recepción,Operativa Turnos,Intermedio,"¿Qué significa ""Rv. Org. Suite"" en observaciones?",Que la suite está fuera de servicio,Que la reserva es de una suite organizada por la recepción,Que es una habitación estándar,Que el huésped pidió una suite aunque la reserva es de otro tipo,D,"No olvides poner en Observación: Cuadre orig: [tipo de habitación reservado original], por si las circunstancias cambian y necesitamos reubicar de nuevo la reserva a su tipología original.",1
38,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el turno de tarde con los grupos?,"Verificar que se dispone del rooming list, orden de servicio y llaves programadas antes de la llegada","Registrar al grupo en el PMS, coordinar horarios de pensiones con restaurante y entregar llaves según modalidad acordada",Solicitar los DNIs al responsable del grupo y registrar cualquier variación respecto a la rooming list,Todas las anteriores son correctas,D,"La gestión de grupos requiere planificación previa, documentación completa (rooming list, orden de servicio), coordinación con A&B, entrega de llaves según modalidad (Recepción o Hospitality), y registro de DNIs. Además, cualquier variación debe notificarse a Comercial/SSCC para garantizar una facturación correcta.",1
39,Recepción,Operativa Turnos,Intermedio,¿Por qué es importante el relevo verbal al final del turno?,Para asegurar que las incidencias pendientes se gestionen sin interrupción,Para justificar horas extra,Porque es obligatorio por ley,Para socializar con el compañero,A,Informar al siguiente turno cualquier incidencia que haya quedado pendiente para que pueda darle seguimiento.,1
40,Recepción,Operativa Turnos,Intermedio,¿Qué se debe hacer si un walk-in llega de noche en estado de embriaguez?,Admitirlo sin más,Ninguna de las anteriores es correcta,Valorar admisión y negarla si hay riesgo,Asignar la peor habitación,C,"Valorar admisión (p. ej., embriaguez o riesgo) antes de entregar llave.",1
41,Recepción,Operativa Turnos,Intermedio,"¿Qué implica ""cuadrar la caja""?","Verificar que efectivo, tarjetas y movimientos coincidan con el PMS",Hacer un informe verbal,Contar solo el efectivo,Dejar el dinero en la caja sin más,A,"Verificando que el efectivo y los cobros con tarjeta coincidan y ""confirmar que coinciden con el PMS"".",1
42,Recepción,Operativa Turnos,Intermedio,¿Qué se debe hacer con las reservas que no cumplen requisitos a las 21:00?,Esperar hasta las 23:00,Darles habitación igual,Anularlas según política,Ninguna de las anteriores es correcta,D,"A las 21:00, Comprobar que todas las reservas estén: prepagadas, con tarjeta cargable, y activas en el channel * Cargar a la tarjeta de depósito las que no lleguen antes de las 22:00 h. * Contactar con cliente habituales para confirmar su llegada * Anular aquellas reservas que no cumplan los requisitos establecidos.",1
43,Recepción,Operativa Turnos,Intermedio,¿Qué se debe hacer si un huésped se queja durante el turno de tarde?,Escribirla en un papel suelto,Decirle que hable con el turno de mañana,Ninguna de las anteriores es correcta,Registrar en sistema de incidencias y escalar si procede,D,Registrar y gestionar quejas en el sistema de incidencias; escalar a dirección si procede.,1
44,Recepción,Operativa Turnos,Intermedio,¿Por qué se debe mantener la agenda de novedades limpia?,Para que solo se vea información relevante y actual (máx. 1 semana),Para ahorrar papel,Por estética,Porque lo pide el gerente,A,"Mantener la agenda limpia: elimina o archiva todo lo que esté resuelto; para novedades, dejar un plazo de una semana.",1
45,Recepción,Operativa Turnos,Intermedio,¿Qué se debe hacer con los no shows en el turno de noche?,No procede según protocolo,No procede según protocolo,Darles habitación hasta las 2:00,Cargarlos antes del cierre según política de tarifa e informar en OTA si aplica,D,"Cargar no shows antes del cierre según política de tarifa. Si es necesario, informar en la extranet de la OTA.",1
46,Recepción,Operativa Turnos,Intermedio,Un huésped con reserva no garantizada no llega a las 21:00. ¿Qué debe hacer el turno de tarde?,Esperar hasta las 23:00,Anular la reserva según política de reléase,Cobrar una noche igual,Asignar la habitación a un walk-in sin más,B,"A las 21:00, revisar llegadas pendientes... anular aquellas que no cumplan requisitos (ej.: no garantizadas tras reléase).",1
47,Recepción,Operativa Turnos,Intermedio,¿Qué riesgo hay si no se actualiza el estado de una habitación reparada por mantenimiento?,No hay riesgo,"Overbooking, asignación incorrecta o mala experiencia del huésped",Que el PMS se bloquee,Que el huésped no pague,B,"Si no se actualiza en PMS, la habitación sigue como ""Fuera de Servicio"" y no se asigna, perdiendo ingresos o generando confusión.",1
48,Recepción,Operativa Turnos,Intermedio,"Un huésped solicita factura a nombre de su empresa, pero el pago lo ha realizado él mismo en efectivo. ¿Qué debe comprobar el recepcionista antes de emitirla?",Que la empresa esté dada de alta correctamente en el PMS y crearla siguiendo el protocolo si no existe ficha corporativa,Que la empresa haya enviado autorización firmada para permitir la emisión de la factura,Que el huésped tenga contratado un paquete corporativo especial,"Emitir la factura sin más, ya que el pago fue directo y no es necesario registrar ningún dato adicional",A,"Cuando el pago es directo del huésped, puede solicitar factura a nombre de su empresa sin necesidad de autorización. El recepcionista debe comprobar que la empresa esté creada correctamente en el PMS y, si no aparece, darla de alta siguiendo el protocolo para emitir la factura con los datos fiscales completos.",1
49,Recepción,Operativa Turnos,Intermedio,"¿Por qué es crítico revisar las ""características extendidas"" (Sup, Cun) al asignar habitaciones?",Porque Housekeeping cobra extra,Porque el PMS se bloquea,"Porque si no se cumplen, genera insatisfacción y posibles quejas o cancelaciones",No procede según protocolo,C,Estas peticiones son parte del contrato con el huésped; no cumplirlas es una brecha de calidad.,1
50,Recepción,Operativa Turnos,Intermedio,¿Qué debe hacer el turno de noche si recibe una llamada de emergencia médica?,Ninguna de las anteriores es correcta,"Valorar conciencia/respiración, llamar 112 si hay riesgo vital, asistir solo si está capacitado y registrar",Avisar solo a gerencia,No procede según protocolo,B,"Protocolo médico: ""Si hay riesgo vital, 112 inmediato... Asistir con primeros auxilios solo si estás capacitado... Registrar"".",1
51,Recepción,Operativa Turnos,Avanzado,¿Qué implica un error en el MR-HOSPE?,La imposibilidad de cumplir con la obligación legal de registrar y comunicar correctamente los datos de los viajeros según el Real Decreto 933/2021,ue la comunicación automática con la Policía genere duplicados en las fichas de viajeros,Que el fichero XML se envíe sin incidencias pero quede bloqueado en el registro interno del PMS,"Que las fechas de entrada y salida se sincronicen incorrectamente, provocando que el sistema marque huéspedes alojados como “no llegados”",A,"El MR-HOSPE es el registro obligatorio de viajeros regulado por el Real Decreto 933/2021. Si contiene errores o datos incompletos, el envío al Ministerio del Interior no se valida correctamente. Esto supone un incumplimiento legal en la comunicación de viajeros, por lo que debe revisarse con precisión antes del cierre.",1
52,Recepción,Operativa Turnos,Avanzado,Un huésped se queja de ruido a las 2:00 AM. ¿Qué debe hacer el recepcionista de noche?,Decirle que espere al día siguiente,"Aplicar protocolo de altercados: desescalar, dar avisos formales, y si persiste, avisar a autoridades (091) si hay riesgo",Confrontar al huésped ruidoso,Ninguna de las anteriores es correcta,B,"Protocolo: ""No confrontar; priorizar seguridad... dos avisos formales; al tercero, aviso a autoridades"".",1
53,Recepción,Operativa Turnos,Avanzado,¿Por qué se debe archivar el cierre de caja en un sobre firmado?,Para que el gerente lo vea,"Para trazabilidad, control interno y auditoría futura",Por burocracia,Porque lo pide el banco,B,"Permite verificar operaciones, responsabilidades y resolver discrepancias posteriores.",1
54,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de mañana si una habitación VIP tiene avería y llega un cliente importante?,Decirle al huésped que espere en el lobby,Asignar igual y disculparse,"Priorizar reparación con mantenimiento, y si no es posible, asignar upgrade con amenities",Avisar solo a gerencia y esperar,C,Se debe aplicar criterio: resolver la incidencia o compensar al huésped para preservar la experiencia.,1
55,Recepción,Operativa Turnos,Avanzado,¿Qué se debe hacer si en el LOG CHANNEL se detecta que una reserva OTA no tiene garantía pero la tarifa lo exige?,Ninguna de las anteriores es correcta,Cancelar la reserva inmediatamente,"Verificar en canal, aplicar política de no show si aplica y notificar a OTA si es necesario",Esperar a que el huésped llegue,C,Es un riesgo de no show no cubierto; se debe gestionar según política y proteger ingresos.,1
56,Recepción,Operativa Turnos,Avanzado,"Un grupo tiene bono ""asume crédito"", pero no se refleja en PMS. ¿Qué riesgo hay?",Que el restaurante no los atienda,Que el grupo no pueda entrar,Que se cobre al grupo en check-out generando conflicto,Que Housekeeping no limpie,C,"Los bonos ""asume crédito"" permiten cargar a habitación sin depósito; si no está en PMS, se puede cobrar indebidamente.",1
57,Recepción,Operativa Turnos,Avanzado,¿Por qué es importante que el turno de noche deje listados impresos para la mañana?,Ahorrar electricidad,Porque permite al equipo de mañana enfocarse en servicio desde el primer minuto sin perder tiempo en generación de informes,Por tradición,Porque el PMS no funciona por la mañana,D,Deja la operativa lista... así evitas retrasos y recepción de día puede enfocarse en el servicio desde el primer minuto.,1
58,Recepción,Operativa Turnos,Basico,"¿Qué debe hacer el turno de tarde si un huésped pide ampliar estancia, pero no hay disponibilidad?",Rechazar la solicitud sin más,"Actuar de forma proactiva revisando alternativas (cambio de habitación, liberaciones, otro hotel del grupo) y, si no es viable, comunicar que no es posible ampliar la estancia",Decirle al huésped que consulte más tarde,Ninguna de las anteriores,B,"El turno de tarde debe actuar de forma proactiva comprobando si existe alguna opción para ampliar la estancia, como un cambio de habitación o una liberación de última hora, y revisar también la disponibilidad en el otro hotel del grupo. Solo si ninguna alternativa es viable se informa al huésped de que no es posible ampliar su estancia, indicando que se han revisado todas las opciones.",1
59,Recepción,Operativa Turnos,Avanzado,¿Qué implica no registrar una incidencia de seguridad (ej.: altercado)?,No hay consecuencias,Que el gerente se enoje,"Falta de trazabilidad, imposibilidad de seguimiento y riesgo legal para el hotel",Que el huésped no vuelva,C,"El documento exige ""registro trazable para gerencia"" en protocolos de emergencia.",1
60,Recepción,Operativa Turnos,Avanzado,¿Qué debe verificar el turno de noche en las facturas a crédito de empresas?,Que el huésped haya firmado el libro de visitas,Que el logo de la empresa sea bonito,Que la habitación esté limpia,"Que bono, comisiones, tarifa, fechas, saldo y soportes estén correctos y completos",D,"Comprueba antes de confirmar factura: N.º de bono, comisiones, tarifa, régimen, fechas, saldo total exacto y soportes adjuntos.",1
61,Recepción,Operativa Turnos,Avanzado,Un huésped llega de noche sin DNI. ¿Qué debe hacer el recepcionista?,Hacer check-in igual,Exigir identificación válida (DNI/pasaporte) antes de entregar llave,Registrar con nombre y apellidos,Esperar a que traiga el DNI por la mañana,A,"Por ley de extranjería y seguridad, se debe verificar identidad con documento oficial antes de alojar.",1
62,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de mañana si Housekeeping reporta que no puede limpiar habitaciones por falta de personal?,Decirle a los huéspedes que limpien ellos,Esperar a que llegue más personal,Avisar a dirección para que decida; solo bloquear en PMS si está autorizado,Bloquear habitaciones sin avisar,C,"Es importante avisar a dirección para que tomen la decisión. Solo si estás autorizado, bloquea en el PMS.",1
63,Recepción,Operativa Turnos,Avanzado,¿Por qué se debe revisar el channel manager al inicio del turno de mañana?,Por rutina,Para saber qué OTAs usan los huéspedes,Porque el gerente lo pide cada hora,Para detectar reservas no sincronizadas con el PMS y evitar overbooking o errores de asignación,D,La sincronización entre PMS y channel es crítica para la gestión de inventario en tiempo real.,1
64,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de noche si hay un fallo eléctrico en una zona?,Esperar a que se repare solo,Apagar todo el hotel,"Detectar alcance, priorizar seguridad, avisar a dirección/mantenimiento, mitigar impacto y registrar",Avisar solo a Housekeeping,C,"Protocolo de fallos técnicos: ""Detectar alcance... Priorizar y avisar... Mitigar... Registrar"".",1
65,Recepción,Operativa Turnos,Avanzado,¿Qué se debe hacer si un huésped pide no registrar un cargo en su factura por discreción?,Negarse y explicar que todos los servicios deben registrarse por ley y transparencia,No procede según protocolo,Acceder a la solicitud,No procede según protocolo,A,"Por ley fiscal y política interna, todos los cargos deben registrarse; la discreción no exime del cumplimiento.",1
66,Recepción,Operativa Turnos,Avanzado,"¿Qué implica una ""reserva fuera de reléase"" no cobrada?",No afecta al hotel,Pérdida de ingresos garantizados por política de cancelación,Que el PMS se actualiza solo,Que el huésped se va feliz,B,Las reservas fuera de plazo de cancelación deben cobrarse si no se cancelan a tiempo; no hacerlo es una pérdida económica.,1
67,Recepción,Operativa Turnos,Avanzado,¿Por qué es clave que el turno de tarde verifique el estado de limpieza en PMS antes del check-in?,Para castigar a Housekeeping,Para saber quién limpia mejor,Para asignar habitaciones listas y evitar que el huésped espere,No es necesario,C,"Garantiza que el huésped reciba una habitación disponible y limpia, evitando malas experiencias.",1
68,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de noche si un huésped pierde la llave?,No procede según protocolo,"Reemplazar la llave, codificar una nueva, previa comprobación en el pm de titularidad",Ninguna de las anteriores es correcta,Anular la llave,B,Se debe resolver la incidencia de forma segura y documentarla.,1
69,Recepción,Operativa Turnos,Avanzado,¿Qué se debe hacer si en el cierre de caja hay un descuadre?,No procede según protocolo,"Localizar el motivo antes de irse, revisando movimientos y tickets",Dejarlo para el turno de mañana,Ninguna de las anteriores es correcta,B,"No te marches sin haber cuadrado la caja; si hay alguna discrepancia, averigua el motivo.",1
70,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de mañana si un huésped VIP tiene una petición especial no registrada en PMS?,Ninguna de las anteriores es correcta,No procede según protocolo,Esperar a que el huésped lo recuerde,Registrarla inmediatamente como nota de huésped y coordinar con departamentos para cumplirla,D,"Las peticiones especiales deben registrarse en PMS (""notas de huésped"") para garantizar seguimiento y personalización.",1
71,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de noche si una reserva de Hotelbeds no tiene teléfono?,Cancelar la reserva,No procede según protocolo,Solicitarlo al cliente en el check-in,Ninguna de las anteriores es correcta,C,"Comprobar si el teléfono del cliente aparece; si no, solicitarlo al hacer el check-in.",1
72,Recepción,Operativa Turnos,Avanzado,"¿Qué debe hacer el turno de tarde si una reserva de Keytel es ""pago directo""?",Cancelar la reserva,Facturar a Keytel en neto,No facturar,Facturar al cliente en bruto,D,En caso de Pago directo: Se factura al cliente (efectivo o tarjeta). 'en Bruto',1
73,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de mañana si una reserva de Synxis GDS incluye empresa y agencia?,Eliminar los datos,"Registrar ambos: ""Empresa / Agencia""",Registrar solo la agencia,Registrar solo la empresa,B,Ejemplo: 'Mercadona / AVORIS Retail División S.L.',1
74,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de noche si una reserva de Booking.com es un no-show y no hay tarjeta válida?,No procede según protocolo,Cobrar al cliente por teléfono,Todas las anteriores son correctas,Ninguna de las anteriores es correcta,D,Todas las reservas de Booking están garantizadas... se debe solicitar el cobro por no-show directamente a Booking.com.,1
75,Recepción,Operativa Turnos,Avanzado,¿Qué debe hacer el turno de mañana si una reserva de Traveltino no tiene bono adjunto?,Cobrar al cliente,Solicitarlo a la agencia antes de facturar,Ninguna de las anteriores es correcta,No procede según protocolo,B,"Revisar si se ha recibido el bono... y si no, solicitarlo a la agencia.",1
